INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,TUITION_DIFF
St. Mary's University,San Antonio,TX,78228,2,0.799,1139,29300,29300,2310,6,0
Southern Methodist University,Dallas,TX,75275-0221,2,0.4877,1382,52498,52498,6427,6,0
Southwestern Assemblies of God University,Waxahachie,TX,75165,2,0.2788,1021,19994,19994,1730,6,0
Southwestern University,Georgetown,TX,78626,2,0.4314,1230,40560,40560,1387,6,0
Stephen F Austin State University,Nacogdoches,TX,75961,1,0.6543,1077,7716,17676,10655,6,9960
Texas State University,San Marcos,TX,78666,1,0.7298,1121,9985,21605,34180,6,11620
Southwestern Adventist University,Keene,TX,76059,2,0.6237,1040,20732,20732,780,6,0
Sul Ross State University,Alpine,TX,79832,1,0.9963,946,8072,20522,2208,6,12450
Tarleton State University,Stephenville,TX,76401-0000,1,0.5038,1042,7367,17111,11283,6,9744
Texas A & M University-Kingsville,Kingsville,TX,78363,1,0.8413,1021,8462,22102,5694,6,13640
Texas A & M University-College Station,College Station,TX,77843-1248,1,0.7054,1277,11234,36606,52568,6,25372
The University of Texas at Arlington,Arlington,TX,76013,1,0.7122,1163,9952,25152,32955,6,15200
The University of Texas at Austin,Austin,TX,78712,1,0.3649,1359,10398,36744,39965,6,26346
The University of Texas at Dallas,Richardson,TX,75080-3021,1,0.7603,1340,11528,29656,18375,6,18128
The University of Texas at El Paso,El Paso,TX,79968-0691,1,1,1011,7851,21596,21216,6,13745
The University of Texas at Tyler,Tyler,TX,75799-6699,1,0.6499,1160,7822,20872,6699,6,13050
Texas Christian University,Fort Worth,TX,76129,2,0.4108,1285,44760,44760,8983,6,0
Texas Lutheran University,Seguin,TX,78155-5999,2,0.4853,1068,29960,29960,1341,6,0
The University of Texas of the Permian Basin,Odessa,TX,79762-0001,1,0.8946,1025,5782,6622,3730,6,840
The University of Texas at San Antonio,San Antonio,TX,78249-1644,1,0.7946,1122,7969,19168,25709,6,11199
Texas Southern University,Houston,TX,77004,1,0.6666,846,9173,21623,7967,6,12450
Texas Tech University,Lubbock,TX,79409-5005,1,0.6918,1176,8860,18652,30330,6,9792
Texas Wesleyan University,Fort Worth,TX,76105-1536,2,0.3427,1049,27800,27800,1656,6,0
Texas Woman's University,Denton,TX,76204,1,0.8571,1002,7486,17446,9417,6,9960
Trinity University,San Antonio,TX,78212-7200,2,0.3844,1353,41344,41344,2393,6,0
Wayland Baptist University,Plainview,TX,79072,2,0.9876,1009,18510,18510,3549,6,0
West Texas A & M University,Canyon,TX,79016-0001,1,0.6136,1069,7846,9117,7383,6,1271
Brigham Young University-Provo,Provo,UT,84602,2,0.524,1364,5460,5460,31233,7,0
Brigham Young University-Hawaii,Laie,HI,96762-1294,2,0.3677,1182,5400,5400,2855,8,0
Southern Utah University,Cedar City,UT,84720,1,0.758,1156,6676,20288,6849,7,13612
Utah State University,Logan,UT,84322-1400,1,0.8908,1177,7870,21520,21473,7,13650
University of Utah,Salt Lake City,UT,84112-9008,1,0.6615,1234,8884,28127,23402,7,19243
Westminster College,Salt Lake City,UT,84105,2,0.9271,1187,33860,33860,2002,7,0
Castleton University,Castleton,VT,5735,1,0.8154,1025,11970,27522,1757,1,15552
Champlain College,Burlington,VT,5401,2,0.7504,1210,39818,39818,3771,1,0
Northern Vermont University,Johnson,VT,05656-9464,1,0.8695,1022,11730,24690,1317,1,12960
Lyndon State College,Lyndonville,VT,05851-0919,1,0.9727,1034,11730,23898,1011,1,12168
Middlebury College,Middlebury,VT,5753,2,0.171,1446,52496,52496,2532,1,0
College of St Joseph,Rutland,VT,05701-3899,2,0.5411,1003,24000,24000,220,1,0
University of Vermont,Burlington,VT,05405-0160,1,0.672,1280,17740,41356,10513,1,23616
Averett University,Danville,VA,24541,2,0.6102,959,33350,33350,908,5,0
Bluefield College,Bluefield,VA,24605,2,0.9112,986,24800,24800,874,5,0
Bridgewater College,Bridgewater,VA,22812-1599,2,0.5198,1073,33820,33820,1874,5,0
College of William and Mary,Williamsburg,VA,23187-8795,1,0.3592,1406,22044,43670,6243,5,21626
Regent University,Virginia Beach,VA,23464,2,0.783,1081,17288,17288,4087,5,0
Jefferson College of Health Sciences,Roanoke,VA,24013,2,0.3922,1058,25850,25850,771,5,0
Emory & Henry College,Emory,VA,24327-0947,2,0.7223,1089,33700,33700,977,5,0
Eastern Mennonite University,Harrisonburg,VA,22802-2462,2,0.5373,1102,35800,35800,1089,5,0
Ferrum College,Ferrum,VA,24088-9000,2,0.7193,962,33025,33025,1122,5,0
George Mason University,Fairfax,VA,22030-4444,1,0.8132,1210,11924,34370,24395,5,22446
Hampden-Sydney College,Hampden-Sydney,VA,23943-0128,2,0.5505,1165,43940,43940,1046,5,0
Hampton University,Hampton,VA,23668-0099,2,0.362,1083,25441,25441,3786,5,0
Hollins University,Roanoke,VA,24020,2,0.4838,1212,38285,38285,628,5,0
James Madison University,Harrisonburg,VA,22807,1,0.752,1194,10830,27230,19666,5,16400
Liberty University,Lynchburg,VA,24515,2,0.2979,1157,21310,21310,45364,5,0
Longwood University,Farmville,VA,23909,1,0.9183,1049,12720,27660,4230,5,14940
University of Lynchburg,Lynchburg,VA,24501-3113,2,0.7455,1089,37690,37690,1979,5,0
Mary Baldwin University,Staunton,VA,24401,2,0.947,1093,31110,31110,1058,5,0
University of Mary Washington,Fredericksburg,VA,22401-5300,1,0.735,1178,12128,27374,4366,5,15246
Marymount University,Arlington,VA,22207-4299,2,0.9226,1058,30876,30876,2241,5,0
Norfolk State University,Norfolk,VA,23504-8000,1,0.9013,946,9036,20478,4641,5,11442
Old Dominion University,Norfolk,VA,23529,1,0.8572,1089,10050,27900,19364,5,17850
Randolph-Macon College,Ashland,VA,23005-5505,2,0.6223,1152,40000,40000,1439,5,0
Randolph College,Lynchburg,VA,24503-1555,2,0.8644,1079,38155,38155,651,5,0
University of Richmond,University of Richmond,VA,23173,2,0.3297,1394,50910,50910,3165,5,0
Roanoke College,Salem,VA,24153-3794,2,0.6719,1154,42819,42819,1990,5,0
Shenandoah University,Winchester,VA,22601-5195,2,0.8325,1115,31920,31920,2055,5,0
Southern Virginia University,Buena Vista,VA,24416,2,0.5616,992,15900,15900,877,5,0
Sweet Briar College,Sweet Briar,VA,24595-9998,2,0.928,1117,37155,37155,281,5,0
The University of Virginia's College at Wise,Wise,VA,24293-4400,1,0.7751,1028,9825,27055,1249,5,17230
Virginia Polytechnic Institute and State University,Blacksburg,VA,24061-0131,1,0.7006,1284,13230,31014,27120,5,17784
Virginia Commonwealth University,Richmond,VA,23284-2512,1,0.839,1168,13624,33656,22393,5,20032
University of Virginia-Main Campus,Charlottesville,VA,22903-2628,1,0.2735,1415,16853,47273,16207,5,30420
Virginia Military Institute,Lexington,VA,24450-0304,1,0.5314,1204,18214,43902,1722,5,25688
Virginia State University,Petersburg,VA,23806,1,0.9111,914,8726,19572,4265,5,10846
Virginia Union University,Richmond,VA,23220,2,0.4392,922,17448,17448,1211,5,0
Virginia Wesleyan University,Virginia Beach,VA,23455,2,0.6988,1063,36660,36660,1369,5,0
Washington and Lee University,Lexington,VA,24450-2116,2,0.22,1449,50170,50170,1819,5,0
Central Washington University,Ellensburg,WA,98926-7501,1,0.8634,1012,7903,22010,11468,8,14107
Eastern Washington University,Cheney,WA,99004-2496,1,0.962,995,7109,23862,10500,8,16753
The Evergreen State College,Olympia,WA,98505-0001,1,0.9628,1095,7591,25051,3560,8,17460
Gonzaga University,Spokane,WA,99258-0001,2,0.6485,1295,41330,41330,5119,8,0
Northwest University,Kirkland,WA,98083-0579,2,0.9744,1122,30320,30320,911,8,0
Pacific Lutheran University,Tacoma,WA,98447-0003,2,0.7539,1162,40722,40722,2672,8,0
Saint Martin's University,Lacey,WA,98503-7500,2,0.9751,1081,35656,35656,1259,8,0
Seattle Pacific University,Seattle,WA,98119-1997,2,0.9087,1173,40893,40893,2900,8,0
Seattle University,Seattle,WA,98122-4340,2,0.738,1250,42885,42885,4547,8,0
Washington State University,Pullman,WA,99164-5910,1,0.7306,1127,11391,25817,24797,8,14426
University of Washington-Seattle Campus,Seattle,WA,98195-4550,1,0.4642,1331,10974,35538,30295,8,24564
Western Washington University,Bellingham,WA,98225-9008,1,0.8479,1190,8183,22695,14876,8,14512
Whitman College,Walla Walla,WA,99362,2,0.5173,1329,49780,49780,1468,8,0
Whitworth University,Spokane,WA,99251,2,0.8901,1217,42186,42186,2227,8,0
Alderson Broaddus University,Philippi,WV,26416-2035,2,0.4063,1028,26610,26610,935,5,0
Appalachian Bible College,Mount Hope,WV,25880-9557,2,0.5895,1096,14290,14290,157,5,0
Bethany College,Bethany,WV,26032,2,0.9404,1012,28454,28454,597,5,0
Bluefield State College,Bluefield,WV,24701,1,0.8146,994,6728,13032,1363,5,6304
University of Charleston,Charleston,WV,25304,2,0.6449,1014,30400,30400,1810,5,0
Concord University,Athens,WV,24712,1,0.9019,1038,7732,16812,1830,5,9080
Davis & Elkins College,Elkins,WV,26241-3996,2,0.4161,1007,28992,28992,791,5,0
Fairmont State University,Fairmont,WV,26554-2470,1,0.7061,1044,6950,14666,3488,5,7716
Marshall University,Huntington,WV,25755,1,0.9019,1099,7798,17856,8554,5,10058
Ohio Valley University,Vienna,WV,26105-8000,2,0.2859,1043,21250,21250,424,5,0
Shepherd University,Shepherdstown,WV,25443,1,0.8913,1074,7328,17869,2956,5,10541
West Virginia State University,Institute,WV,25112-1000,1,0.9758,1007,7546,16550,1905,5,9004
West Liberty University,West Liberty,WV,26074,1,0.7176,1024,7380,15020,1994,5,7640
West Virginia University Institute of Technology,Beckley,WV,25801,1,0.5291,1165,6960,17544,1256,5,10584
West Virginia Wesleyan College,Buckhannon,WV,26201-2994,2,0.7064,1091,30752,30752,1304,5,0
West Virginia University,Morgantown,WV,26506,1,0.719,1159,8376,23616,21703,5,15240
Wheeling Jesuit University,Wheeling,WV,26003,2,0.514,1063,28110,28110,694,5,0
Bellin College,Green Bay,WI,54311,2,0.8889,1195,20500,20500,354,3,0
Cardinal Stritch University,Milwaukee,WI,53217-3985,2,0.7835,1044,28844,28844,1284,3,0
Carroll University,Waukesha,WI,53186,2,0.7082,1163,31144,31144,2895,3,0
Carthage College,Kenosha,WI,53140-1994,2,0.6787,1179,41950,41950,2723,3,0
Concordia University-Wisconsin,Mequon,WI,53097-2402,2,0.6319,1145,28600,28600,3533,3,0
Edgewood College,Madison,WI,53711-1997,2,0.7111,1145,28500,28500,1521,3,0
Lakeland University,Plymouth,WI,53073,2,0.5166,1008,27760,27760,1835,3,0
Lawrence University,Appleton,WI,54911,2,0.6135,1343,46101,46101,1441,3,0
Maranatha Baptist University,Watertown,WI,53094,2,0.73,1132,14910,14910,686,3,0
Marian University,Fond Du Lac,WI,54935-4699,2,0.6758,1010,27400,27400,1495,3,0
Marquette University,Milwaukee,WI,53233,2,0.8933,1262,39900,39900,8093,3,0
Milwaukee School of Engineering,Milwaukee,WI,53202-3109,2,0.6284,1305,39429,39429,2605,3,0
Mount Mary University,Milwaukee,WI,53222-4597,2,0.5599,990,29510,29510,676,3,0
Ripon College,Ripon,WI,54971-0248,2,0.6753,1145,41835,41835,740,3,0
Saint Norbert College,De Pere,WI,54115-2099,2,0.7922,1199,36593,36593,2041,3,0
University of Wisconsin Colleges,Madison,WI,53708,1,0.7946,1025,5172,12743,9321,3,7571
Viterbo University,La Crosse,WI,54601-8804,2,0.6145,1162,27150,27150,1767,3,0
University of Wisconsin-Whitewater,Whitewater,WI,53190-1790,1,0.7035,1105,7662,16235,10543,3,8573
University of Wisconsin-Eau Claire,Eau Claire,WI,54701,1,0.7567,1165,8816,16736,10070,3,7920
University of Wisconsin-Green Bay,Green Bay,WI,54311-7001,1,0.7553,1125,7878,15728,5503,3,7850
University of Wisconsin-La Crosse,La Crosse,WI,54601-9959,1,0.7337,1185,9096,17765,9436,3,8669
Wisconsin Lutheran College,Milwaukee,WI,53226-4699,2,0.9025,1145,29140,29140,982,3,0
University of Wisconsin-Oshkosh,Oshkosh,WI,54901,1,0.6309,1105,7587,15160,9162,3,7573
University of Wisconsin-Parkside,Kenosha,WI,53144,1,0.6077,1045,7389,15378,4056,3,7989
University of Wisconsin-Stout,Menomonie,WI,54751,1,0.8718,1105,9456,17423,7955,3,7967
University of Wisconsin-Superior,Superior,WI,54880-4500,1,0.7618,1045,8109,15682,2241,3,7573
University of Wisconsin-Madison,Madison,WI,53706-1380,1,0.5381,1361,10533,34783,29930,3,24250
University of Wisconsin-Milwaukee,Milwaukee,WI,53211,1,0.7248,1125,9565,20844,19436,3,11279
University of Wisconsin-Platteville,Platteville,WI,53818-3099,1,0.7971,1165,7536,15386,7496,3,7850
University of Wisconsin-River Falls,River Falls,WI,54022-5001,1,0.7452,1125,8013,15586,5515,3,7573
University of Wisconsin-Stevens Point,Stevens Point,WI,54481-3897,1,0.8356,1125,8209,16476,7768,3,8267
University of Wyoming,Laramie,WY,82071,1,0.9682,1195,5217,16827,9623,7,11610
University of Puerto Rico-Aguadilla,Aguadilla,PR,00604-6150,1,0.7098,1049,2082,4070,3385,9,1988
University of the Virgin Islands,Charlotte Amalie,VI,00802-9990,1,0.9844,913,5235,14496,1763,9,9261
Stanford University,Stanford,CA,94305,2,0.0473,1489,49617,49617,7056,8,0
Purdue University-Main Campus,West Lafayette,IN,47907-2040,1,0.5747,1293,9992,28794,31887,3,18802
St. John's College,Santa Fe,NM,87505-4599,2,0.6316,1283,52320,52320,322,6,0
New College of Florida,Sarasota,FL,34243-2109,1,0.6896,1296,6916,29944,835,5,23028
California State University-San Marcos,San Marcos,CA,92096-0001,1,0.5676,1041,7653,19533,14516,8,11880
University of Washington-Bothell Campus,Bothell,WA,98011-8246,1,0.8011,1129,10911,35475,5329,8,24564
University of Washington-Tacoma Campus,Tacoma,WA,98402-3100,1,0.8385,1083,11046,35610,4412,8,24564
Watkins College of Art Design & Film,Nashville,TN,37228,2,0.4213,1104,23700,23700,199,5,0
Soka University of America,Aliso Viejo,CA,92656-8081,2,0.3722,1318,31776,31776,412,8,0
Arizona State University-West,Glendale,AZ,85306,1,0.7965,1132,10301,26038,3563,6,15737
California State University-Monterey Bay,Seaside,CA,93955-8001,1,0.532,1068,7043,18923,6557,8,11880
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,MO,63703-4507,2,0.7647,1105,17580,17580,204,4,0
Arizona State University-Polytechnic,Mesa,AZ,85212,1,0.7628,1193,10301,26038,4224,6,15737
Florida Gulf Coast University,Fort Myers,FL,33965-6565,1,0.6426,1141,6118,25162,13636,5,19044
University of Connecticut-Waterbury Campus,Waterbury,CT,6702,1,0.9588,1086,12838,34906,851,1,22068
University of Connecticut-Avery Point,Groton,CT,06340-6097,1,0.9416,1111,12838,34906,619,1,22068
University of Connecticut-Stamford,Stamford,CT,06901-2315,1,0.8232,1085,12848,34916,1670,1,22068
The King's University,Southlake,TX,76092,2,0.519,1100,14400,14400,398,6,0
Oregon State University-Cascades Campus,Bend,OR,97702,1,0.6753,1131,9774,28749,917,8,18975
Franklin W Olin College of Engineering,Needham,MA,02492-1200,2,0.1337,1522,51936,51936,345,1,0
University of California-Merced,Merced,CA,95343-5603,1,0.6979,1114,13598,41612,7375,8,28014
Ave Maria University,Ave Maria,FL,34142-9505,2,0.4212,1142,19970,19970,1052,5,0
University of South Florida-St Petersburg,St. Petersburg,FL,33701-9807,1,0.3993,1165,5821,16735,4162,5,10914
Arizona State University-Downtown Phoenix,Phoenix,AZ,85004,1,0.7721,1165,10792,27372,8898,6,16580
Visible Music College,Memphis,TN,38103,2,1,984,19500,19500,123,5,0
University of South Florida-Sarasota-Manatee,Sarasota,FL,34243-2049,1,0.393,1177,5587,16501,1868,5,10914
The King's College,New York,NY,10004,2,0.409,1246,35400,35400,533,2,0
University of Minnesota-Rochester,Rochester,MN,55904,1,0.513,1186,13352,13352,459,4,0
Compass College of Cinematic Arts,Grand Rapids,MI,49503,2,0.7945,1051,15300,15300,134,3,0
Texas A&M University-San Antonio,San Antonio,TX,78224,1,0.3464,981,8216,20404,5376,6,12188
John Paul the Great Catholic University,Escondido,CA,92025,2,0.9502,1126,24900,24900,260,8,0
University of Connecticut-Hartford Campus,Hartford,CT,6103,1,0.9597,1101,12828,34896,1244,1,22068
Pennsylvania State University-World Campus,University Park,PA,16802-1503,1,0.6679,1106,13988,13988,8108,2,0
Augusta University,Augusta,GA,30912,1,0.7459,1006,8604,23606,4978,5,15002
Middle Georgia State University,Macon,GA,31206,1,0.9397,954,3924,11092,6609,5,7168
University of North Georgia,Dahlonega,GA,30597,1,0.7807,1058,4421,12834,17067,5,8413
Florida Polytechnic University,Lakeland,FL,33805-8531,1,0.5531,1272,4940,4940,1438,5,0
University of Florida-Online,Gainesville,FL,32611,1,0.6802,1235,3876,16580,2735,5,12704
University of North Texas at Dallas,Dallas,TX,75241,1,0.7397,978,7848,20088,2663,6,12240
Kennesaw State University,Kennesaw,GA,30144,1,0.6063,1163,6347,17329,32309,5,10982
Milligan College,Milligan College,TN,37682,2,0.5776,1184,32500,32500,806,5,0
Emory University-Oxford College,Oxford,GA,30054,2,0.2894,1420,48502,48502,979,5,0
Husson University,Bangor,ME,04401-2929,2,0.8627,1048,17561,17561,2652,1,0
Piedmont International University,Winston-Salem,NC,27101,2,0.3633,919,9480,9480,336,5,0
Purdue University Northwest,Hammond,IN,46323,1,0.3467,1082,7582,17129,8665,3,9547
